bus.119.gen,bus.4.gen,bus.6.gen,bus.8.gen,bus.10.gen,bus.12.gen,bus.15.gen,bus.18.gen,bus.19.gen,bus.24.gen,bus.25.gen,bus.26.gen,bus.120.gen,bus.31.gen,bus.32.gen,bus.34.gen,bus.36.gen,bus.40.gen,bus.42.gen,bus.46.gen,bus.49.gen,bus.121.gen,bus.55.gen,bus.56.gen,bus.122.gen,bus.61.gen,bus.62.gen,bus.65.gen,bus.66.gen,bus.69.gen,bus.70.gen,bus.72.gen,bus.73.gen,bus.74.gen,bus.76.gen,bus.77.gen,bus.80.gen,bus.85.gen,bus.87.gen,bus.89.gen,bus.90.gen,bus.91.gen,bus.92.gen,bus.99.gen,bus.100.gen,bus.103.gen,bus.104.gen,bus.105.gen,bus.123.gen,bus.110.gen,bus.111.gen,bus.124.gen,bus.113.gen,bus.116.gen
42.4454,39.7933,19.4461,48.5332,29.0926,45.7806,22.0707,31.6161,34.0297,37.7556,56.6314,39.2092,66.114,17.2789,10.8764,54.7872,0,131.835,0,44.9404,8.3471,60.4472,59.1775,97.3449,76.8318,0,59.0939,0,0,20.3364,128.993,58.5214,0,0,0,0,31.22,59.29,25.5848,50.4055,0,0,54.411,25.3824,99.315,58.0718,0,41.4324,52.4662,0,0,0,58.9168,28.8963
37.148,44.747,20.3658,47.4539,28.1896,46.8318,23.0179,33.7981,33.7264,36.351,58.0792,44.6911,65.1423,15.52,12.066,54.04,0,129.769,0,48.3473,8.197,58.8639,57.1586,95.2324,75.0214,0,57.078,0,0,19.1026,125.725,57.9636,0,0,0,0,30.4932,57.3842,25.0595,48.9045,0,0,52.7212,24.981,96.7943,59.1322,0,40.4039,52.1872,0,0,0,57.1981,25.297
38.9992,43.3768,20.4394,47.3854,25.9792,44.7304,23.5793,31.0527,34.4626,41.9762,57.6228,42.5887,68.7897,13.2556,11.9227,52.6915,0,131.633,0,48.9833,8.1532,59.0455,57.4029,96.289,75.0929,0,56.2795,0,0,19.3185,125.414,57.3718,0,0,0,0,31.2172,57.4958,24.7158,48.7117,0,0,52.8057,23.546,95.737,59.253,0,41.4402,52.287,0,0,0,57.9558,24.6639
40.1064,41.4658,20.7466,47.4318,29.2467,46.7307,24.1113,31.0135,35.4824,40.3468,60.2867,43.9677,66.2612,14.6454,11.6321,52.4719,0,133.708,0,50.7079,8.176,58.8992,57.2566,94.6805,74.9823,0,55.7392,0,0,23.8404,125.303,58.0668,0,0,0,0,29.3693,57.3416,24.8854,48.2276,0,0,51.9863,26.8577,95.7808,58.5281,0,40.6315,55.3817,0,0,0,57.1939,25.5424
38.2258,45.4724,21.0794,46.3818,28.0512,46.665,24.7876,30.8456,34.012,41.8888,60.481,43.0549,70.4789,17.5871,12.4998,51.4992,0,135.618,0,53.3512,8.2647,57.1912,55.2726,93.5421,73.2806,0,54.3778,0,0,27.5585,120.942,57.0989,0,0,0,0,26.5361,54.1004,24.2085,44.9118,0,0,51.7742,28.1317,93.9683,55.6581,0,39.3511,53.5508,0,0,0,56.469,26.6702
37.7713,47.0919,19.5501,46.866,27.7302,49.8618,24.2046,30.1968,34.7021,38.6046,61.6206,44.1984,67.4106,15.9244,13.022,51.9961,0,136.157,0,57.3146,7.9895,58.0479,53.0704,90.149,74.1205,0,53.1786,0,0,25.8202,123.065,57.4858,0,0,0,0,25.4719,52.2652,24.2315,43.4565,0,0,53.0493,24.4077,89.7377,54.1361,0,40.0256,55.0305,0,0,0,57.0099,25.5385
40.2212,42.7801,18.603,47.0332,31.8016,49.2454,21.0774,33.5988,35.2468,39.0542,59.0656,47.46,63.827,21.5024,11.9806,52.3313,0,130.531,0,52.5188,8.1638,58.369,51.5308,88.9342,73.8683,0,52.2777,0,0,30.7759,122.462,55.9747,0,0,0,0,23.7321,51.7422,25.0253,43.1384,0,0,52.8184,24.5138,86.5605,51.5485,0,40.3972,54.7124,0,0,0,56.8271,25.7868
40.2163,44.2641,19.2262,46.5657,27.4426,50.2328,23.706,33.8992,33.7038,44.1287,61.3055,50.33,66.4114,22.32,13.7954,52.4617,0,132.989,0,55.7834,8.1855,58.235,47.4767,84.1251,73.4059,0,52.0271,0,0,27.5702,122.072,57.3329,0,0,0,0,22.9603,46.9975,24.7073,42.1931,0,0,52.4851,29.392,81.7905,48.2014,0,39.6269,51.367,0,0,0,56.8354,25.6121
46.557,44.7785,19.7337,45.4843,27.4633,52.2656,22.8932,35.3371,35.1889,39.6058,60.3858,54.637,66.1847,26.2844,13.2723,51.209,0,132.181,0,56.177,7.9508,56.4135,46.4526,79.2648,71.157,0,50.2562,0,0,30.8309,118.991,55.6318,0,0,0,0,22.6643,44.3943,23.9416,40.0904,0,0,50.9888,29.3458,82.5481,45.2483,0,39.3234,50.4365,0,0,0,55.5875,27.3023
41.6719,43.6173,20.1705,45.5305,25.6474,52.3264,24.5736,35.7248,35.1477,45.2408,64.307,52.5934,68.0094,27.8058,14.4462,50.9707,0,125.788,0,53.9244,7.7807,57.0882,45.7547,79.399,71.455,0,49.9645,0,0,30.9428,119.313,55.0782,0,0,0,0,22.2633,38.8933,24.3386,40.1081,0,0,50.5011,28.2603,77.5109,42.7675,0,39.0637,48.912,0,0,0,55.84,29.9456
43.3837,43.7115,20.6318,45.2748,29.8916,55.2838,23.0758,38.0697,36.3824,43.3317,65.6468,54.4917,69.2912,30.1163,14.3618,51.4331,0,122.857,0,52.9958,7.283,56.8747,43.3956,81.0071,71.5737,0,49.6601,0,0,31.4277,119.366,55.4903,0,0,0,0,22.6355,31.4902,24.1615,40.5518,0,0,51.9164,27.2473,74.7023,38.8484,0,38.8849,50.4474,0,0,0,55.657,28.0276
