bus.119.gen,bus.4.gen,bus.6.gen,bus.10.gen,bus.12.gen,bus.15.gen,bus.18.gen,bus.19.gen,bus.24.gen,bus.25.gen,bus.26.gen,bus.120.gen,bus.31.gen,bus.32.gen,bus.46.gen,bus.69.gen,bus.99.gen,bus.116.gen
47.0282,41.2914,21.3841,29.6883,50.4019,22.6516,34.524,34.7855,41.0347,58.8128,41.3772,68.3741,18.869,11.3369,48.0617,22.0173,25.312,31.1582
40.1307,45.0657,22.0218,29.3883,49.2537,24.6568,36.1395,36.4472,41.5516,61.6668,47.1265,66.6964,16.7857,13.0427,55.0558,20.5329,26.2107,27.1887
40.955,49.0397,22.8349,27.2973,47.4081,25.531,32.5439,35.6146,44.2814,65.3836,48.2674,75.1886,13.839,12.4158,52.6062,21.3851,27.1093,28.1134
43.9942,43.778,22.121,32.3024,49.8236,25.4855,34.3683,36.2035,41.745,64.4194,49.2092,73.9701,15.494,13.0468,55.2215,23.937,28.008,27.5397
40.3174,46.0106,21.7745,31.2475,47.0833,26.1748,34.246,37.2832,43.4567,65.5016,47.7189,76.24,19.0145,13.6301,53.0386,28.4266,26.9947,26.5917
40.8633,51.5097,21.6622,29.6517,51.5171,25.9704,30.6324,37.9601,40.9861,67.7927,45.9385,73.9535,17.2943,13.523,61.7208,26.172,25.9813,25.7052
42.21,45.4612,19.4805,32.5262,54.2688,23.4328,36.9754,36.1664,41.5606,63.0335,49.8736,70.3349,23.419,13.113,55.4761,32.9189,24.968,27.6988
42.7984,47.6526,20.9898,31.203,55.2454,25.927,36.4678,35.7894,44.7233,66.5418,52.2278,71.605,23.2743,15.1153,57.8865,30.5984,25.6693,28.0233
51.5848,47.6113,20.8387,28.1101,56.9957,25.7634,36.2438,37.4891,42.9237,63.8737,57.8627,69.852,29.3692,13.7856,59.0184,32.3781,26.3707,30.4884
45.2995,47.6252,22.6362,28.7897,57.336,25.9662,38.7978,39.3793,48.868,69.2035,57.3331,75.1508,30.6611,15.7441,57.2679,30.9035,27.072,31.3462
47.7497,48.8285,22.028,30.5592,60.1254,25.025,40.38,37.6386,49.2932,68.4195,58.9362,73.0235,31.4162,14.9481,58.7442,33.3305,27.2213,31.375
45.9876,49.5109,20.7197,29.4045,56.1442,26.764,41.9151,39.7328,43.9249,68.698,57.5045,80.3754,32.7528,14.7236,63.2948,36.1259,27.3707,33.7547
52.2431,47.6495,22.3094,35.5875,59.7706,25.4824,41.9871,37.4082,48.0414,67.355,58.3445,72.844,33.3397,15.0677,61.624,38.8221,27.52,32.9701
45.75,45.1246,20.9565,34.2397,61.2044,22.9293,43.7191,41.1542,49.0683,69.6286,58.2454,76.6603,36.743,15.5963,62.2189,36.4839,28.3147,37.1318
47.8921,48.8434,18.4575,32.3521,64.0611,22.3038,41.3929,41.278,47.4819,70.4698,56.5922,77.52,39.5353,13.8161,66.5619,33.8701,29.1093,40.4344
47.4872,47.9074,19.1479,34.356,62.0272,23.5834,42.2777,38.9718,50.2915,72.774,60.105,70.5942,42.6046,15.2405,67.3019,35.8759,29.904,38.3243
53.6958,48.7732,17.6581,40.1393,64.8484,26.0581,43.5923,43.9064,49.5082,73.342,69.4341,5.4753,44.1088,16.722,74.6793,32.5579,29.536,41.4626
54.5713,53.4216,20.9421,43.6952,65.3236,27.2472,50.0058,46.1081,52.1406,16.8491,67.6231,8.7887,46.8166,17.0382,74.2141,36.573,29.168,41.6947
49.5651,51.5154,17.8363,42.7235,60.5569,26.7001,42.8534,42.2793,51.2883,15.2426,65.7154,9.7449,45.3445,19.0301,78.9754,42.0295,28.8,38.7436
49.5041,56.9519,15.4341,34.1639,58.8222,27.632,43.1471,44.6646,58.1305,14.6961,57.4458,11.4315,41.817,18.2885,73.933,40.5677,28.8267,38.9934
50.598,55.8524,16.311,34.2272,55.2302,22.8512,43.0615,37.4686,55.1975,14.7028,59.2524,10.1373,39.5707,19.627,71.3936,42.9036,28.8533,42.7176
56.8578,65.6825,16.6755,40.2576,37.4491,11.0537,42.0871,42.8802,58.9224,15.5476,40.2531,9.3202,47.6115,18.1058,70.4813,46.0519,28.88,37.3444
59.51,65.5764,16.3024,45.7155,38.5287,12.2082,43.13,43.9275,57.6778,15.7898,37.2766,11.8331,46.7379,18.1822,69.7458,46.2796,28.704,39.644
58.6319,68.7123,16.75,43.0574,33.4119,12.8233,44.8898,46.3135,54.2812,15.2191,46.4525,13.7898,47.7648,17.8385,70.3754,49.6866,28.528,39.5512
60.9528,59.7223,17.2047,45.2916,50.5573,12.9165,44.4065,43.4334,59.1658,15.551,48.0907,10.9187,44.1681,23.3777,69.3201,45.7681,28.352,40.1875
62.2816,62.4665,18.7256,41.5054,65.5059,12.6595,43.6328,42.7915,58.4235,15.4,46.8235,10.2528,46.5838,22.3857,66.4032,51.0043,30.1493,40.3536
70.3072,65.3584,16.0663,42.9329,68.0741,11.7051,46.3514,44.969,61.8931,15.8994,46.8924,11.6464,45.1987,20.0363,66.9858,48.7725,31.9467,40.276
70.1214,63.4774,16.5025,44.8976,79.1174,11.6048,44.5725,42.4616,61.5162,15.9102,47.9879,12.6189,49.8017,20.7871,65.2013,48.2344,33.744,44.7186
77.468,63.4144,14.1061,49.2985,76.3068,13.418,49.2664,44.7919,62.7698,16.7893,52.4031,12.9777,52.3713,24.427,66.507,50.8875,33.6213,42.0496
70.031,62.1042,13.6816,44.5738,69.8143,30.7607,29.8332,39.0145,61.8792,70.1916,61.8563,10.7329,46.0055,25.6166,66.467,51.8575,33.4987,44.5536
71.1035,62.9789,12.6899,42.9422,70.5458,30.6118,31.8697,42.5157,64.9798,79.9914,68.7825,9.7971,48.6295,28.9359,68.3377,51.1248,33.376,42.8586
72.4625,64.9636,16.6483,42.8201,68.5189,34.6543,32.2993,43.0142,66.666,79.4398,66.8182,19.1088,50.1357,27.1385,62.5336,48.7339,33.1307,45.7093
69.1763,67.1994,13.4176,43.2458,61.695,28.8352,29.1814,39.9771,63.0583,77.4719,65.0557,66.0927,47.258,26.0444,61.6211,52.4769,32.8853,42.8282
70.4311,65.2138,14.9607,45.7021,61.9303,31.4101,30.6606,40.4385,62.3655,76.6208,71.675,66.9144,47.4145,27.9073,60.4241,48.1699,32.64,45.367
71.1787,68.5553,15.9492,46.2286,70.6292,27.0925,30.9369,39.0234,58.4981,80.4726,70.3266,65.8982,45.7479,26.3323,59.6267,54.766,32.032,44.2159
72.2464,71.6471,14.8821,43.2429,59.0259,24.8568,35.0389,41.1963,62.219,80.1611,76.0481,72.2495,48.3084,26.5602,63,49.8084,31.424,42.8595
70.7774,72.2861,15.2353,44.6559,60.7006,26.9682,46.1941,38.293,59.253,79.9327,73.2331,71.9647,46.2759,26.0393,66.9541,48.1729,30.816,44.2872
70.0095,72.0011,14.5409,46.5264,54.381,27.98,48.5996,39.9858,58.0725,81.1718,70.7165,69.4906,49.2982,28.8085,66.6453,52.799,30.5413,40.6438
75.1657,72.6861,12.0445,43.7276,56.7937,27.6254,44.7208,40.293,58.5323,84.6798,69.0202,72.6906,45.6214,29.3946,69.0247,48.1589,30.2667,41.938
73.3923,68.2429,16.7346,45.6905,56.9563,27.0206,47.4705,41.5711,63.8613,79.1656,69.9111,72.2471,48.2781,28.7363,65.0284,47.4829,29.992,40.7745
73.0531,69.596,9.3688,44.951,61.197,30.003,44.9477,38.3487,63.0057,82.3674,73.1901,77.176,46.1382,28.6262,67.2182,53.9013,30.44,38.4941
69.4012,68.9674,14.5167,39.393,62.2292,23.8846,44.5804,41.0746,66.9274,87.5509,72.5692,83.5585,47.1713,27.6125,67.8567,51.8268,30.888,41.4803
74.1008,66.6279,13.335,44.1155,64.6276,29.0287,44.9944,41.5553,74.3657,82.2013,74.1306,81.5043,47.1606,22.6735,69.504,50.1778,31.336,39.5157
83.02,66.9487,9.9023,41.4919,66.6057,27.5318,43.1999,37.6549,71.3077,77.0073,70.1735,81.6462,47.1475,25.4414,70.3794,55.6802,31.456,39.773
76.4303,70.8205,12.0643,38.6629,59.1683,27.4244,44.2204,39.7675,71.2631,79.5528,68.5773,81.445,45.2345,26.1187,72.8062,55.006,31.576,41.642
78.7726,60.4059,13.481,45.1099,55.9722,23.4721,48.1503,41.9976,77.2597,77.5177,68.1524,75.561,46.0458,26.5638,70.0519,57.0796,31.696,39.9032
73.1662,67.9696,14.1886,40.4911,60.786,26.7473,42.2451,39.7533,73.4964,74.4938,65.9076,81.6673,47.9636,24.333,77.0674,57.8264,32.376,40.1602
67.6234,65.4971,14.373,41.6779,59.4782,26.047,43.7709,41.9829,74.0468,74.3198,69.4923,77.7442,48.5396,27.6762,74.1232,61.1632,33.056,43.4732
